,p0_is_free,p1_is_free,p2_is_free,stack_size
0,False,True,True,0
1,False,True,False,0
2,False,True,False,1
3,False,True,False,2
4,True,True,False,3
5,True,True,False,4
6,False,True,False,4
7,False,True,True,5
8,False,False,False,4
9,False,True,True,5
10,False,False,False,4
11,False,False,False,5
12,False,False,False,6
13,False,False,False,7
14,False,True,True,8
15,True,False,False,7
16,False,False,False,7
17,False,False,False,8
18,False,True,True,9
19,True,True,True,10
20,False,True,True,10
21,False,True,True,11
22,False,False,True,11
23,False,False,True,12
24,False,False,True,13
25,False,False,False,13
26,False,True,False,14
27,True,True,False,15
28,False,False,False,14
29,False,False,False,15
30,False,False,True,16
31,False,False,True,17
32,True,False,True,18
33,False,False,True,18
34,False,True,True,19
35,False,False,True,19
36,False,False,False,19
37,False,False,False,20
38,False,False,False,21
39,False,False,False,22
40,False,False,True,23
41,False,False,True,24
42,True,False,False,24
43,True,False,False,25
44,True,True,False,26
45,False,False,False,25
46,False,False,False,26
47,False,False,False,27
48,False,True,True,28
49,False,False,True,28
50,True,False,False,28
51,False,False,False,28
52,True,False,False,29
53,False,False,False,29
54,False,False,False,30
55,True,True,True,31
56,False,True,False,30
57,False,False,False,30
58,False,False,False,31
59,False,False,False,32
60,False,False,False,33
61,False,False,False,34
62,False,False,True,35
63,True,True,True,36
64,False,True,False,35
65,False,True,False,36
66,False,True,True,37
67,False,False,True,37
68,True,False,True,38
69,False,False,True,38
70,False,False,False,38
71,False,False,False,39
72,False,False,True,40
73,False,True,True,41
74,False,True,True,42
75,True,False,True,42
76,False,False,False,41
77,False,False,False,42
78,False,False,False,43
79,False,False,False,44
80,False,False,False,45
81,False,True,True,46
82,False,False,True,46
83,True,False,True,47
84,False,False,True,47
85,False,False,True,48
86,True,False,False,48
87,True,False,False,49
88,True,False,False,50
89,True,True,False,51
90,True,True,False,52
91,True,False,False,52
92,True,False,True,53
93,True,False,False,53
94,True,False,False,54
95,True,False,False,55
96,True,False,False,56
97,False,False,False,56
98,False,True,False,57
99,False,True,False,58
100,False,True,False,59
101,False,True,True,60
102,False,True,False,60
103,False,True,False,61
104,False,False,False,61
105,False,False,False,62
106,True,True,False,63
107,True,True,False,64
108,True,True,False,65
109,True,True,True,66
110,False,True,False,65
111,False,False,False,65
112,True,False,False,66
113,True,True,False,67
114,True,True,False,68
115,False,True,False,68
116,False,True,False,69
117,True,True,False,70
118,True,True,False,71
119,True,True,True,72
120,True,True,False,72
121,True,False,False,72
122,True,True,False,73
123,True,False,False,73
124,False,False,False,73
125,False,True,False,74
126,False,True,False,75
127,False,True,False,76
128,False,True,True,77
129,False,False,False,76
130,True,False,False,77
131,True,False,False,78
132,True,False,False,79
133,True,False,False,80
134,True,False,False,81
135,True,True,False,82
136,False,True,False,82
137,True,True,False,83
138,False,True,True,83
139,False,True,True,84
140,False,False,True,84
141,False,False,True,85
142,False,False,True,86
143,False,False,False,86
144,False,False,False,87
145,False,True,False,88
146,False,True,False,89
147,True,True,False,90
148,True,True,True,91
149,True,False,False,90
150,True,False,False,91
151,True,False,False,92
152,True,False,False,93
153,True,False,True,94
154,True,False,True,95
155,False,True,True,95
156,False,False,False,94
157,False,False,False,95
158,False,False,False,96
159,False,False,False,97
160,False,True,False,98
161,True,False,False,98
162,False,False,True,98
163,False,False,True,99
164,False,False,True,100
165,False,False,True,101
166,False,True,True,102
167,False,False,False,101
168,False,False,False,102
169,False,False,False,103
170,True,False,False,104
171,True,False,False,105
172,True,True,False,106
173,True,True,False,107
174,True,True,True,108
175,True,False,False,107
176,True,True,False,108
177,False,False,False,107
178,False,False,False,108
179,False,False,False,109
180,False,False,False,110
181,False,True,True,111
182,True,True,True,112
183,False,True,True,112
184,False,True,False,112
185,False,True,False,113
186,False,True,False,114
187,False,False,True,114
188,False,False,True,115
189,False,False,False,115
190,True,False,True,116
191,False,False,True,116
192,False,False,False,116
193,False,True,False,117
194,True,True,False,118
195,False,True,False,118
196,False,True,False,119
197,False,True,True,120
198,False,True,True,121
199,False,False,True,121
200,False,False,True,122
201,False,False,True,123
202,False,False,False,123
203,True,False,True,124
204,False,False,True,124
205,False,False,True,125
206,False,False,True,126
207,False,False,False,126
208,False,True,False,127
209,False,True,False,128
210,False,False,False,128
211,False,False,False,129
212,True,False,False,130
213,True,False,False,131
214,True,False,False,132
215,False,False,True,132
216,False,False,False,132
217,False,True,False,133
218,False,True,False,134
219,False,True,False,135
220,False,True,False,136
221,False,True,False,137
222,True,False,False,137
223,False,False,True,137
224,False,False,True,138
225,False,False,True,139
226,True,False,True,140
227,False,False,False,139
228,False,True,False,140
229,False,True,True,141
230,False,True,False,141
231,False,True,False,142
232,False,True,False,143
233,True,True,False,144
234,True,True,True,145
235,True,True,False,145
236,True,True,False,146
237,True,False,False,146
238,True,True,False,147
239,True,False,False,147
240,False,False,False,147
241,False,False,False,148
242,False,False,False,149
243,False,False,False,150
244,True,True,True,151
245,True,False,False,150
246,True,True,False,151
247,False,True,True,151
248,False,True,False,151
249,False,False,False,151
250,False,False,False,152
251,False,False,False,153
252,False,False,False,154
253,False,False,False,155
254,False,True,False,156
255,False,True,True,157
256,True,True,False,157
257,False,True,False,157
258,False,False,False,157
259,False,False,False,158
260,True,False,False,159
261,True,False,True,160
262,False,False,False,159
263,False,True,True,160
264,False,False,True,160
265,False,False,True,161
266,True,False,False,161
267,True,True,False,162
268,True,True,False,163
269,False,True,False,163
270,False,False,False,163
271,False,False,False,164
